Protein,Model,HR_95CI,P,FDR,HR,lower,upper
RLN1,Model 0,"0.83(0.75,0.92)",0.00029632,0.000634816,0.83,0.75,0.92
RLN2,Model 0,"0.94(0.89,0.99)",0.017931384,0.03033583,0.94,0.89,0.99
RNASE1,Model 0,"2.44(2.17,2.75)",1.92E-49,2.95E-48,2.44,2.17,2.75
RNASE10,Model 0,"1.38(1.26,1.52)",1.81E-11,7.16E-11,1.38,1.26,1.52
RNASE3,Model 0,"1.04(1.00,1.08)",0.039712442,0.063331693,1.04,1,1.08
RNASE4,Model 0,"2.31(2.01,2.65)",1.58E-32,1.41E-31,2.31,2.01,2.65
RNASE6,Model 0,"2.16(1.99,2.34)",9.08E-77,2.79E-75,2.16,1.99,2.34
RNASEH2A,Model 0,"1.07(0.97,1.19)",0.190757608,0.255042223,1.07,0.97,1.19
RNASET2,Model 0,"3.53(3.19,3.90)",3.10E-135,3.94E-133,3.53,3.19,3.9
RNF149,Model 0,"2.75(2.49,3.03)",6.81E-92,3.06E-90,2.75,2.49,3.03
RNF168,Model 0,"1.18(1.04,1.33)",0.008579199,0.015359449,1.18,1.04,1.33
RNF31,Model 0,"0.90(0.76,1.05)",0.185040841,0.249109846,0.9,0.76,1.05
RNF4,Model 0,"1.03(0.95,1.12)",0.483117034,0.561808737,1.03,0.95,1.12
RNF41,Model 0,"1.12(1.04,1.20)",0.001709249,0.003365481,1.12,1.04,1.2
RNF43,Model 0,"0.98(0.89,1.09)",0.762908094,0.817501517,0.98,0.89,1.09
RNF5,Model 0,"1.05(0.97,1.13)",0.261035355,0.334053907,1.05,0.97,1.13
ROBO1,Model 0,"2.26(1.90,2.69)",1.99E-20,1.17E-19,2.26,1.9,2.69
ROBO2,Model 0,"1.50(1.24,1.81)",3.03E-05,7.24E-05,1.5,1.24,1.81
ROBO4,Model 0,"2.44(1.79,3.34)",2.00E-08,6.26E-08,2.44,1.79,3.34
ROR1,Model 0,"2.76(2.40,3.19)",4.86E-45,6.60E-44,2.76,2.4,3.19
RP2,Model 0,"1.09(0.98,1.21)",0.127983031,0.179582148,1.09,0.98,1.21
RPA2,Model 0,"1.36(1.17,1.59)",6.98E-05,0.00015985,1.36,1.17,1.59
RPE,Model 0,"1.11(1.03,1.19)",0.006221301,0.011418102,1.11,1.03,1.19
RPGR,Model 0,"1.09(0.96,1.25)",0.169540514,0.23079641,1.09,0.96,1.25
RPL14,Model 0,"1.55(1.40,1.72)",8.27E-17,4.23E-16,1.55,1.4,1.72
RPS10,Model 0,"1.00(0.88,1.15)",0.97211742,0.9798353,1,0.88,1.15
RRAS,Model 0,"1.01(0.96,1.05)",0.813974773,0.858983136,1.01,0.96,1.05
RRM2,Model 0,"1.52(1.44,1.60)",1.91E-53,3.26E-52,1.52,1.44,1.6
RRM2B,Model 0,"1.14(1.06,1.22)",0.000269094,0.00057776,1.14,1.06,1.22
RRP15,Model 0,"1.02(0.96,1.09)",0.476755464,0.555295554,1.02,0.96,1.09
RSPO1,Model 0,"1.79(1.58,2.01)",2.37E-21,1.45E-20,1.79,1.58,2.01
RSPO3,Model 0,"2.98(2.61,3.39)",1.25E-60,2.45E-59,2.98,2.61,3.39
RTBDN,Model 0,"1.59(1.38,1.85)",5.63E-10,2.03E-09,1.59,1.38,1.85
RTKN2,Model 0,"1.06(0.96,1.18)",0.236923248,0.307064307,1.06,0.96,1.18
RTN4IP1,Model 0,"1.11(1.04,1.17)",0.000725845,0.001491533,1.11,1.04,1.17
RTN4R,Model 0,"1.58(1.41,1.76)",6.11E-16,3.04E-15,1.58,1.41,1.76
RUVBL1,Model 0,"0.97(0.92,1.01)",0.168178795,0.229263344,0.97,0.92,1.01
RWDD1,Model 0,"1.14(1.06,1.22)",0.000415062,0.000875078,1.14,1.06,1.22
RYR1,Model 0,"0.86(0.72,1.03)",0.092067421,0.134423333,0.86,0.72,1.03
S100A11,Model 0,"1.24(1.15,1.35)",1.41E-07,4.12E-07,1.24,1.15,1.35
S100A12,Model 0,"1.12(1.06,1.19)",0.000176558,0.000386468,1.12,1.06,1.19
S100A13,Model 0,"1.79(1.58,2.02)",1.68E-20,9.89E-20,1.79,1.58,2.02
S100A14,Model 0,"1.09(0.98,1.20)",0.112752757,0.161154209,1.09,0.98,1.2
S100A16,Model 0,"1.09(1.01,1.17)",0.0237301,0.039103777,1.09,1.01,1.17
S100A3,Model 0,"1.17(1.06,1.30)",0.00163074,0.003221759,1.17,1.06,1.3
S100A4,Model 0,"1.02(0.94,1.10)",0.708441116,0.770159366,1.02,0.94,1.1
S100G,Model 0,"1.30(1.17,1.45)",2.30E-06,6.07E-06,1.3,1.17,1.45
S100P,Model 0,"1.22(1.13,1.32)",1.48E-07,4.32E-07,1.22,1.13,1.32
SAA4,Model 0,"1.03(0.88,1.22)",0.68649306,0.750209481,1.03,0.88,1.22
SAFB2,Model 0,"1.72(1.49,1.99)",2.34E-13,1.03E-12,1.72,1.49,1.99
SAG,Model 0,"0.91(0.81,1.02)",0.111630351,0.159862984,0.91,0.81,1.02
SAMD9L,Model 0,"1.12(1.05,1.19)",0.000275653,0.000591408,1.12,1.05,1.19
SAP18,Model 0,"0.96(0.89,1.04)",0.333241376,0.410402707,0.96,0.89,1.04
SARG,Model 0,"1.01(0.96,1.06)",0.711191209,0.772059802,1.01,0.96,1.06
SART1,Model 0,"1.60(1.48,1.73)",2.33E-31,1.99E-30,1.6,1.48,1.73
SAT1,Model 0,"0.94(0.83,1.05)",0.27155682,0.345510202,0.94,0.83,1.05
SAT2,Model 0,"1.02(0.94,1.10)",0.657107686,0.724605152,1.02,0.94,1.1
SATB1,Model 0,"0.95(0.79,1.14)",0.567871545,0.64270733,0.95,0.79,1.14
SBSN,Model 0,"1.06(0.90,1.24)",0.50349855,0.582725234,1.06,0.9,1.24
SCAMP3,Model 0,"1.20(1.14,1.27)",4.16E-12,1.71E-11,1.2,1.14,1.27
SCARA5,Model 0,"1.96(1.71,2.25)",1.80E-21,1.10E-20,1.96,1.71,2.25
SCARB1,Model 0,"0.93(0.85,1.02)",0.130821534,0.183125063,0.93,0.85,1.02
SCARB2,Model 0,"3.48(3.15,3.85)",6.62E-131,7.16E-129,3.48,3.15,3.85
SCARF1,Model 0,"1.68(1.52,1.86)",3.38E-23,2.20E-22,1.68,1.52,1.86
SCARF2,Model 0,"3.08(2.70,3.51)",2.76E-63,6.07E-62,3.08,2.7,3.51
SCG2,Model 0,"1.68(1.46,1.94)",6.54E-13,2.79E-12,1.68,1.46,1.94
SCG3,Model 0,"1.02(0.89,1.16)",0.82130298,0.865153211,1.02,0.89,1.16
SCGB1A1,Model 0,"1.55(1.42,1.69)",9.46E-23,6.03E-22,1.55,1.42,1.69
SCGB2A2,Model 0,"1.01(0.85,1.21)",0.886016166,0.915624181,1.01,0.85,1.21
SCGB3A1,Model 0,"1.82(1.49,2.23)",7.07E-09,2.30E-08,1.82,1.49,2.23
SCGB3A2,Model 0,"1.06(1.00,1.11)",0.033803326,0.054714918,1.06,1,1.11
SCGN,Model 0,"1.27(1.15,1.41)",5.87E-06,1.49E-05,1.27,1.15,1.41
SCIN,Model 0,"0.97(0.89,1.05)",0.414617116,0.494357688,0.97,0.89,1.05
SCLY,Model 0,"1.31(1.20,1.42)",1.40E-09,4.88E-09,1.31,1.2,1.42
SCN2A,Model 0,"1.04(0.93,1.17)",0.447330943,0.527546993,1.04,0.93,1.17
SCN2B,Model 0,"0.88(0.71,1.08)",0.210075337,0.277942902,0.88,0.71,1.08
SCN3A,Model 0,"0.93(0.79,1.09)",0.362330481,0.442124949,0.93,0.79,1.09
SCN3B,Model 0,"1.13(1.01,1.27)",0.031116096,0.05050528,1.13,1.01,1.27
SCN4B,Model 0,"1.33(1.17,1.51)",8.70E-06,2.19E-05,1.33,1.17,1.51
SCP2,Model 0,"0.86(0.81,0.93)",5.06E-05,0.000117156,0.86,0.81,0.93
SCPEP1,Model 0,"1.40(1.26,1.56)",1.72E-10,6.49E-10,1.4,1.26,1.56
SCRG1,Model 0,"2.28(2.02,2.58)",3.17E-39,3.73E-38,2.28,2.02,2.58
SCRIB,Model 0,"1.05(0.99,1.11)",0.106265731,0.152930475,1.05,0.99,1.11
SCRN1,Model 0,"1.26(1.17,1.36)",5.17E-09,1.71E-08,1.26,1.17,1.36
SCT,Model 0,"0.90(0.79,1.02)",0.09310406,0.135660607,0.9,0.79,1.02
SDC1,Model 0,"1.92(1.77,2.09)",9.73E-52,1.60E-50,1.92,1.77,2.09
SDC4,Model 0,"0.53(0.48,0.58)",1.42E-38,1.63E-37,0.53,0.48,0.58
SDCCAG8,Model 0,"1.04(0.99,1.09)",0.146805556,0.203258522,1.04,0.99,1.09
SDHB,Model 0,"1.07(0.99,1.16)",0.097480682,0.141192258,1.07,0.99,1.16
SDK2,Model 0,"1.72(1.53,1.93)",3.14E-20,1.82E-19,1.72,1.53,1.93
SEC31A,Model 0,"1.11(1.03,1.19)",0.007210133,0.013068645,1.11,1.03,1.19
SEL1L,Model 0,"1.77(1.63,1.92)",6.03E-43,7.65E-42,1.77,1.63,1.92
SELE,Model 0,"1.27(1.17,1.39)",5.16E-08,1.57E-07,1.27,1.17,1.39
SELENOP,Model 0,"0.68(0.53,0.87)",0.001910418,0.003736384,0.68,0.53,0.87
SELL,Model 0,"2.15(1.74,2.64)",5.53E-13,2.38E-12,2.15,1.74,2.64
SELP,Model 0,"1.20(1.10,1.29)",1.04E-05,2.59E-05,1.2,1.1,1.29
SELPLG,Model 0,"1.05(0.89,1.23)",0.567691302,0.64270733,1.05,0.89,1.23
SEMA3F,Model 0,"2.95(2.52,3.45)",3.28E-41,4.03E-40,2.95,2.52,3.45
SEMA3G,Model 0,"1.50(1.33,1.68)",7.19E-12,2.92E-11,1.5,1.33,1.68
SEMA4C,Model 0,"1.59(1.41,1.79)",2.21E-14,1.03E-13,1.59,1.41,1.79
SEMA4D,Model 0,"1.58(1.35,1.85)",9.49E-09,3.06E-08,1.58,1.35,1.85
SEMA6C,Model 0,"1.20(0.99,1.46)",0.061840071,0.094343264,1.2,0.99,1.46
SEMA7A,Model 0,"3.66(3.34,4.00)",8.93E-177,2.61E-174,3.66,3.34,4
SEPTIN3,Model 0,"1.04(0.97,1.11)",0.324786081,0.401230467,1.04,0.97,1.11
SEPTIN7,Model 0,"1.12(1.02,1.23)",0.016233382,0.02775262,1.12,1.02,1.23
SEPTIN8,Model 0,"2.67(2.39,2.98)",9.83E-68,2.41E-66,2.67,2.39,2.98
SEPTIN9,Model 0,"1.74(1.52,1.98)",3.59E-16,1.80E-15,1.74,1.52,1.98
SERPINA1,Model 0,"3.51(2.00,6.15)",1.21E-05,2.99E-05,3.51,2,6.15
SERPINA11,Model 0,"1.15(1.04,1.27)",0.005782859,0.010653596,1.15,1.04,1.27
SERPINA12,Model 0,"0.96(0.92,1.00)",0.055668555,0.085960963,0.96,0.92,1
SERPINA3,Model 0,"2.86(2.18,3.74)",2.08E-14,9.66E-14,2.86,2.18,3.74
SERPINA4,Model 0,"0.74(0.58,0.93)",0.009934374,0.017559547,0.74,0.58,0.93
SERPINA5,Model 0,"0.98(0.83,1.16)",0.792352428,0.842312748,0.98,0.83,1.16
SERPINA6,Model 0,"0.57(0.42,0.77)",0.000261289,0.000562242,0.57,0.42,0.77
SERPINA7,Model 0,"1.30(0.98,1.73)",0.069871789,0.104951452,1.3,0.98,1.73
SERPINA9,Model 0,"1.29(1.21,1.37)",8.34E-16,4.13E-15,1.29,1.21,1.37
SERPINB1,Model 0,"1.06(1.01,1.12)",0.019150683,0.032174911,1.06,1.01,1.12
SERPINB5,Model 0,"1.03(0.93,1.13)",0.616113637,0.688500505,1.03,0.93,1.13
SERPINB6,Model 0,"1.14(1.06,1.24)",0.000556272,0.001154452,1.14,1.06,1.24
SERPINB8,Model 0,"1.36(1.28,1.44)",9.28E-27,6.81E-26,1.36,1.28,1.44
SERPINB9,Model 0,"1.12(0.97,1.28)",0.12380503,0.174811744,1.12,0.97,1.28
SERPINC1,Model 0,"0.64(0.45,0.91)",0.01450663,0.024946619,0.64,0.45,0.91
SERPIND1,Model 0,"0.98(0.81,1.17)",0.79046192,0.840855668,0.98,0.81,1.17
SERPINE1,Model 0,"1.05(0.98,1.12)",0.157307065,0.216158413,1.05,0.98,1.12
SERPINE2,Model 0,"1.02(0.94,1.11)",0.588469214,0.661914524,1.02,0.94,1.11
SERPINF1,Model 0,"1.63(1.37,1.95)",5.67E-08,1.71E-07,1.63,1.37,1.95
SERPINF2,Model 0,"0.56(0.38,0.82)",0.003353483,0.006387587,0.56,0.38,0.82
SERPING1,Model 0,"1.28(0.96,1.70)",0.092846812,0.135353315,1.28,0.96,1.7
SERPINH1,Model 0,"1.08(1.03,1.13)",0.000564524,0.0011705,1.08,1.03,1.13
SERPINI1,Model 0,"1.11(0.93,1.32)",0.242714738,0.313596033,1.11,0.93,1.32
SERPINI2,Model 0,"0.96(0.88,1.06)",0.461422801,0.54100101,0.96,0.88,1.06
SESTD1,Model 0,"0.96(0.89,1.04)",0.314031874,0.390367421,0.96,0.89,1.04
SETMAR,Model 0,"1.92(1.69,2.17)",8.39E-24,5.60E-23,1.92,1.69,2.17
SEZ6,Model 0,"1.02(0.85,1.22)",0.834346607,0.874765305,1.02,0.85,1.22
SEZ6L,Model 0,"1.10(0.94,1.29)",0.22946405,0.299791958,1.1,0.94,1.29
SEZ6L2,Model 0,"1.14(0.96,1.36)",0.143191385,0.198631281,1.14,0.96,1.36
SF3B4,Model 0,"1.08(1.01,1.15)",0.017976317,0.030394235,1.08,1.01,1.15
SFRP1,Model 0,"1.43(1.30,1.57)",2.49E-14,1.15E-13,1.43,1.3,1.57
SFRP4,Model 0,"1.09(0.96,1.24)",0.198670306,0.264290339,1.09,0.96,1.24
SFTPA1,Model 0,"1.07(0.98,1.15)",0.115227205,0.16380888,1.07,0.98,1.15
SFTPA2,Model 0,"1.44(1.33,1.56)",3.52E-19,1.94E-18,1.44,1.33,1.56
SFTPD,Model 0,"1.21(1.13,1.30)",3.03E-08,9.38E-08,1.21,1.13,1.3
SGSH,Model 0,"1.22(1.12,1.34)",1.02E-05,2.54E-05,1.22,1.12,1.34
SH2B3,Model 0,"1.03(0.98,1.08)",0.193944616,0.258592821,1.03,0.98,1.08
SH2D1A,Model 0,"1.26(1.18,1.35)",1.99E-12,8.30E-12,1.26,1.18,1.35
SH3BGRL2,Model 0,"0.96(0.88,1.06)",0.459737521,0.53999741,0.96,0.88,1.06
SH3BP1,Model 0,"1.18(1.07,1.30)",0.001031227,0.002086752,1.18,1.07,1.3
SH3GL3,Model 0,"0.99(0.93,1.06)",0.838476107,0.877544886,0.99,0.93,1.06
SH3GLB2,Model 0,"1.15(1.06,1.24)",0.000532723,0.001107942,1.15,1.06,1.24
SHBG,Model 0,"1.05(0.95,1.14)",0.341272104,0.419585071,1.05,0.95,1.14
SHC1,Model 0,"0.94(0.89,0.99)",0.013918163,0.023977012,0.94,0.89,0.99
SHD,Model 0,"1.04(0.98,1.11)",0.189692375,0.254083365,1.04,0.98,1.11
SHH,Model 0,"1.03(0.91,1.17)",0.649502185,0.717030767,1.03,0.91,1.17
SHISA5,Model 0,"3.12(2.85,3.42)",2.39E-129,2.49E-127,3.12,2.85,3.42
SHMT1,Model 0,"1.07(1.01,1.12)",0.020471595,0.034236574,1.07,1.01,1.12
SHPK,Model 0,"0.95(0.83,1.09)",0.49471276,0.573921835,0.95,0.83,1.09
SIAE,Model 0,"1.53(1.39,1.68)",7.91E-19,4.31E-18,1.53,1.39,1.68
SIGLEC1,Model 0,"2.14(1.95,2.35)",2.13E-58,3.97E-57,2.14,1.95,2.35
SIGLEC10,Model 0,"3.78(3.47,4.12)",2.00E-201,7.30E-199,3.78,3.47,4.12
SIGLEC15,Model 0,"0.96(0.90,1.02)",0.231461562,0.30159204,0.96,0.9,1.02
SIGLEC5,Model 0,"1.29(1.23,1.36)",1.49E-22,9.45E-22,1.29,1.23,1.36
SIGLEC6,Model 0,"2.43(2.20,2.69)",2.05E-68,5.21E-67,2.43,2.2,2.69
SIGLEC7,Model 0,"2.28(1.97,2.64)",1.10E-28,8.53E-28,2.28,1.97,2.64
SIGLEC8,Model 0,"1.95(1.74,2.19)",6.32E-31,5.32E-30,1.95,1.74,2.19
SIGLEC9,Model 0,"1.57(1.34,1.83)",9.92E-09,3.19E-08,1.57,1.34,1.83
SIL1,Model 0,"1.15(0.98,1.33)",0.081184594,0.119666337,1.15,0.98,1.33
SIRPA,Model 0,"1.33(1.22,1.45)",1.95E-10,7.30E-10,1.33,1.22,1.45
SIRPB1,Model 0,"2.38(2.17,2.62)",1.59E-74,4.74E-73,2.38,2.17,2.62
SIRT1,Model 0,"1.06(1.00,1.12)",0.057977874,0.089102837,1.06,1,1.12
SIRT2,Model 0,"1.09(1.03,1.15)",0.001719639,0.003379103,1.09,1.03,1.15
SIRT5,Model 0,"0.97(0.89,1.06)",0.47107017,0.549770143,0.97,0.89,1.06
SIT1,Model 0,"1.10(1.01,1.20)",0.020739759,0.034605769,1.1,1.01,1.2
SKAP1,Model 0,"0.91(0.86,0.97)",0.004981225,0.009246776,0.91,0.86,0.97
SKAP2,Model 0,"1.01(0.96,1.05)",0.804381899,0.850135816,1.01,0.96,1.05
SKIV2L,Model 0,"1.01(0.88,1.16)",0.876688654,0.908098925,1.01,0.88,1.16
SLA2,Model 0,"0.98(0.93,1.03)",0.479386097,0.55791447,0.98,0.93,1.03
SLAMF1,Model 0,"1.83(1.70,1.96)",1.40E-60,2.69E-59,1.83,1.7,1.96
SLAMF6,Model 0,"2.61(2.40,2.83)",4.69E-114,3.26E-112,2.61,2.4,2.83
SLAMF7,Model 0,"1.59(1.48,1.72)",4.30E-35,4.32E-34,1.59,1.48,1.72
SLAMF8,Model 0,"2.08(1.92,2.27)",1.11E-66,2.64E-65,2.08,1.92,2.27
SLC12A2,Model 0,"1.05(0.87,1.28)",0.596646178,0.670079553,1.05,0.87,1.28
SLC13A1,Model 0,"1.02(0.94,1.12)",0.628487072,0.698533983,1.02,0.94,1.12
SLC16A1,Model 0,"1.21(1.13,1.30)",1.46E-07,4.26E-07,1.21,1.13,1.3
SLC1A4,Model 0,"0.96(0.86,1.08)",0.511572401,0.590529987,0.96,0.86,1.08
SLC27A4,Model 0,"1.11(1.04,1.18)",0.002273186,0.004407505,1.11,1.04,1.18
SLC28A1,Model 0,"1.02(0.93,1.12)",0.712830933,0.77349176,1.02,0.93,1.12
SLC34A3,Model 0,"0.99(0.88,1.11)",0.880710339,0.911294894,0.99,0.88,1.11
SLC39A14,Model 0,"1.46(1.30,1.64)",4.15E-10,1.51E-09,1.46,1.3,1.64
SLC39A5,Model 0,"1.28(1.20,1.37)",2.23E-13,9.81E-13,1.28,1.2,1.37
SLC44A4,Model 0,"0.96(0.88,1.05)",0.367878938,0.447772614,0.96,0.88,1.05
SLC4A1,Model 0,"0.99(0.88,1.10)",0.823874925,0.867236763,0.99,0.88,1.1
SLC51B,Model 0,"0.99(0.92,1.07)",0.845283965,0.883403428,0.99,0.92,1.07
SLC9A3R1,Model 0,"1.06(0.99,1.13)",0.088177399,0.129191172,1.06,0.99,1.13
SLC9A3R2,Model 0,"1.29(1.19,1.40)",1.49E-10,5.62E-10,1.29,1.19,1.4
SLIRP,Model 0,"1.14(1.05,1.24)",0.00315062,0.006020818,1.14,1.05,1.24
SLIT2,Model 0,"1.19(1.10,1.30)",2.24E-05,5.45E-05,1.19,1.1,1.3
SLITRK1,Model 0,"0.89(0.76,1.04)",0.134211412,0.187331417,0.89,0.76,1.04
SLITRK2,Model 0,"1.33(1.19,1.49)",9.01E-07,2.48E-06,1.33,1.19,1.49
SLITRK6,Model 0,"1.42(1.25,1.62)",1.22E-07,3.58E-07,1.42,1.25,1.62
SLK,Model 0,"1.01(0.94,1.09)",0.727240388,0.786205825,1.01,0.94,1.09
SLMAP,Model 0,"1.17(1.10,1.24)",1.28E-06,3.43E-06,1.17,1.1,1.24
SLURP1,Model 0,"1.34(1.19,1.50)",1.23E-06,3.31E-06,1.34,1.19,1.5
SMAD1,Model 0,"1.03(0.97,1.09)",0.290852256,0.365599909,1.03,0.97,1.09
SMAD2,Model 0,"1.11(1.03,1.20)",0.00747526,0.013524014,1.11,1.03,1.2
SMAD3,Model 0,"1.20(1.08,1.33)",0.000487388,0.001018007,1.2,1.08,1.33
SMAD5,Model 0,"1.20(0.96,1.51)",0.101527024,0.146471793,1.2,0.96,1.51
SMARCA2,Model 0,"1.00(0.94,1.07)",0.896975983,0.92256776,1,0.94,1.07
SMC3,Model 0,"1.09(0.99,1.20)",0.092598128,0.135125704,1.09,0.99,1.2
SMNDC1,Model 0,"1.40(1.32,1.48)",1.35E-31,1.16E-30,1.4,1.32,1.48
SMOC1,Model 0,"2.88(2.56,3.23)",2.00E-70,5.45E-69,2.88,2.56,3.23
SMOC2,Model 0,"1.72(1.54,1.90)",5.45E-24,3.65E-23,1.72,1.54,1.9
SMPD1,Model 0,"1.36(1.25,1.49)",8.28E-12,3.35E-11,1.36,1.25,1.49
SMPD3,Model 0,"1.05(0.96,1.15)",0.261065416,0.334053907,1.05,0.96,1.15
SMPDL3A,Model 0,"1.01(0.94,1.09)",0.739140857,0.796453384,1.01,0.94,1.09
SMPDL3B,Model 0,"0.95(0.88,1.02)",0.172982395,0.234934229,0.95,0.88,1.02
SMS,Model 0,"1.03(0.95,1.13)",0.431010404,0.510361062,1.03,0.95,1.13
SMTN,Model 0,"1.03(0.98,1.09)",0.274469254,0.348548218,1.03,0.98,1.09
SNAP23,Model 0,"1.03(0.98,1.09)",0.234596622,0.305132354,1.03,0.98,1.09
SNAP25,Model 0,"0.98(0.87,1.10)",0.747649703,0.804578985,0.98,0.87,1.1
SNAP29,Model 0,"1.07(1.01,1.12)",0.014224854,0.024476473,1.07,1.01,1.12
SNAPIN,Model 0,"1.13(1.04,1.24)",0.006904493,0.012569276,1.13,1.04,1.24
SNCA,Model 0,"1.06(1.01,1.11)",0.01418318,0.024419155,1.06,1.01,1.11
SNCG,Model 0,"1.41(1.32,1.51)",2.09E-25,1.47E-24,1.41,1.32,1.51
SNED1,Model 0,"1.20(1.02,1.41)",0.029702018,0.048425401,1.2,1.02,1.41
SNRPB2,Model 0,"1.50(1.41,1.59)",6.35E-39,7.39E-38,1.5,1.41,1.59
SNU13,Model 0,"1.14(1.05,1.23)",0.000984674,0.001995314,1.14,1.05,1.23
SNX15,Model 0,"1.30(1.18,1.43)",1.29E-07,3.78E-07,1.3,1.18,1.43
SNX18,Model 0,"1.00(0.88,1.13)",0.997209462,0.99789295,1,0.88,1.13
SNX2,Model 0,"1.16(1.09,1.23)",1.28E-06,3.43E-06,1.16,1.09,1.23
SNX5,Model 0,"1.39(1.17,1.65)",0.000151073,0.000333181,1.39,1.17,1.65
SNX9,Model 0,"1.20(1.12,1.28)",5.24E-08,1.59E-07,1.2,1.12,1.28
SOD1,Model 0,"1.27(1.16,1.39)",4.30E-07,1.22E-06,1.27,1.16,1.39
SOD2,Model 0,"1.26(1.12,1.42)",8.10E-05,0.000184211,1.26,1.12,1.42
SOD3,Model 0,"1.00(0.92,1.10)",0.949512438,0.963034498,1,0.92,1.1
SORBS1,Model 0,"1.34(1.20,1.48)",4.80E-08,1.47E-07,1.34,1.2,1.48
SORCS2,Model 0,"2.79(2.48,3.13)",3.63E-68,9.05E-67,2.79,2.48,3.13
SORD,Model 0,"1.14(1.07,1.22)",5.80E-05,0.000133351,1.14,1.07,1.22
SORT1,Model 0,"1.60(1.42,1.80)",1.31E-14,6.23E-14,1.6,1.42,1.8
SOST,Model 0,"1.51(1.35,1.68)",3.96E-13,1.71E-12,1.51,1.35,1.68
SOWAHA,Model 0,"1.01(0.90,1.14)",0.803311107,0.849879867,1.01,0.9,1.14
SOX2,Model 0,"1.23(0.98,1.54)",0.07684115,0.114258944,1.23,0.98,1.54
SOX9,Model 0,"1.81(1.47,2.22)",1.73E-08,5.43E-08,1.81,1.47,2.22
SPACA5_SPACA5B,Model 0,"1.31(1.12,1.54)",0.000873479,0.001779874,1.31,1.12,1.54
SPAG1,Model 0,"1.05(0.96,1.15)",0.281279763,0.355403249,1.05,0.96,1.15
SPARC,Model 0,"0.95(0.89,1.02)",0.145211126,0.201241807,0.95,0.89,1.02
SPARCL1,Model 0,"1.16(0.98,1.36)",0.076850879,0.114258944,1.16,0.98,1.36
SPART,Model 0,"1.05(0.98,1.12)",0.19777858,0.263344029,1.05,0.98,1.12
SPESP1,Model 0,"1.48(1.26,1.73)",1.11E-06,3.02E-06,1.48,1.26,1.73
SPINK1,Model 0,"1.89(1.73,2.07)",6.58E-44,8.69E-43,1.89,1.73,2.07
SPINK2,Model 0,"1.36(1.20,1.55)",1.59E-06,4.24E-06,1.36,1.2,1.55
SPINK4,Model 0,"1.41(1.32,1.50)",3.06E-25,2.14E-24,1.41,1.32,1.5
SPINK5,Model 0,"0.91(0.79,1.05)",0.185447192,0.249541843,0.91,0.79,1.05
SPINK6,Model 0,"1.36(1.25,1.48)",2.55E-13,1.11E-12,1.36,1.25,1.48
SPINK8,Model 0,"1.01(0.87,1.17)",0.912625705,0.935300535,1.01,0.87,1.17
SPINT1,Model 0,"2.33(2.04,2.67)",3.69E-34,3.58E-33,2.33,2.04,2.67
SPINT2,Model 0,"1.72(1.54,1.93)",5.46E-21,3.27E-20,1.72,1.54,1.93
SPINT3,Model 0,"1.03(1.01,1.05)",0.008176954,0.014684321,1.03,1.01,1.05
SPOCK1,Model 0,"0.85(0.71,1.02)",0.080087601,0.118108988,0.85,0.71,1.02
SPON1,Model 0,"2.09(1.87,2.34)",6.36E-37,6.85E-36,2.09,1.87,2.34
SPON2,Model 0,"2.17(1.92,2.45)",2.32E-35,2.37E-34,2.17,1.92,2.45
SPP1,Model 0,"1.80(1.64,1.98)",5.57E-34,5.31E-33,1.8,1.64,1.98
SPRED2,Model 0,"1.09(0.96,1.23)",0.173190499,0.235107511,1.09,0.96,1.23
SPRING1,Model 0,"1.12(1.03,1.21)",0.008668622,0.015481576,1.12,1.03,1.21
SPRR1B,Model 0,"1.00(0.94,1.07)",0.985605812,0.991377531,1,0.94,1.07
SPRR3,Model 0,"0.96(0.89,1.03)",0.250122722,0.32160209,0.96,0.89,1.03
SPRY2,Model 0,"1.05(1.00,1.11)",0.042487341,0.067388939,1.05,1,1.11
SPTBN2,Model 0,"1.40(1.21,1.62)",9.98E-06,2.49E-05,1.4,1.21,1.62
SPTLC1,Model 0,"1.25(1.10,1.41)",0.000417004,0.000877902,1.25,1.1,1.41
SRC,Model 0,"0.98(0.94,1.01)",0.215540693,0.284529305,0.98,0.94,1.01
SRP14,Model 0,"1.51(1.42,1.61)",4.10E-36,4.28E-35,1.51,1.42,1.61
SRPK2,Model 0,"1.13(1.07,1.19)",3.20E-06,8.30E-06,1.13,1.07,1.19
SRPX,Model 0,"1.93(1.67,2.22)",5.47E-19,3.00E-18,1.93,1.67,2.22
SSB,Model 0,"1.05(0.97,1.13)",0.229160914,0.299529932,1.05,0.97,1.13
SSBP1,Model 0,"1.01(0.86,1.18)",0.932651273,0.950223907,1.01,0.86,1.18
SSC4D,Model 0,"1.00(0.97,1.04)",0.987947712,0.993048991,1,0.97,1.04
SSC5D,Model 0,"1.33(1.20,1.47)",7.39E-08,2.21E-07,1.33,1.2,1.47
SSH3,Model 0,"0.87(0.71,1.06)",0.166383424,0.227434394,0.87,0.71,1.06
SSNA1,Model 0,"1.32(1.20,1.46)",2.30E-08,7.16E-08,1.32,1.2,1.46
ST13,Model 0,"1.14(1.04,1.26)",0.00754579,0.013626287,1.14,1.04,1.26
ST3GAL1,Model 0,"1.19(1.08,1.31)",0.000512599,0.00106685,1.19,1.08,1.31
